ImageNumber	ObjectNumber	Metadata_Cortex_region	Metadata_Cortex_region	Metadata_FileLocation	Metadata_Frame	Metadata_Iteration	Metadata_Layer	Metadata_Layer	Metadata_Pt_type	Metadata_Pt_type	Metadata_Sample_number	Metadata_Sample_number	Metadata_Series	FileName_Microglia_impression_for_MoBIE	FileName_Pre_IBA1	FileName_ROI_Mask	FileName_ROI_MaskForMobie	PathName_Microglia_impression_for_MoBIE	PathName_Pre_IBA1	PathName_ROI_Mask	PathName_ROI_MaskForMobie	Location_Center_X	Location_Center_Y	Number_Object_Number	Parent_Microglia_total
1	21	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1583.0285103349963	792.551674982181	21	21
1	22	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	498.3180952380952	820.5657142857143	22	22
1	23	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1251.339876612451	843.8334268087493	23	23
1	24	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	457.0379146919431	872.9265402843602	24	24
1	25	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	350.70933333333335	859.376	25	25
1	26	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	172.65625	907.6394230769231	26	26
1	27	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1379.8024164889837	911.8088130774698	27	27
1	28	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	216.10034013605443	925.4013605442177	28	28
1	29	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	586.5980230642504	929.1449752883032	29	29
1	30	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	467.65549597855227	1014.9450402144772	30	30
1	31	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	319.9760348583878	1035.5588235294117	31	31
1	32	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	551.8402447314752	1175.9639700883752	32	32
1	33	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	758.0741839762611	1346.2779426310583	33	33
1	34	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	656.3339552238806	1358.6940298507463	34	34
2	1	FC	FC	nan	0	2	1	1	AD	AD	11	11	0	iba1-AD11FCL1.2-normalized_total_label.tiff	iba1-AD11FCL1.2-normalized.tif	mask-AD11FCL1.2.tif	mask-AD11FCL1.2.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	891.2984967788118	161.61417322834646	1	1
