ImageNumber,ObjectNumber,Metadata_Cortex_region,Metadata_Cortex_region,Metadata_FileLocation,Metadata_Frame,Metadata_Iteration,Metadata_Layer,Metadata_Layer,Metadata_Pt_type,Metadata_Pt_type,Metadata_Sample_number,Metadata_Sample_number,Metadata_Series,FileName_Microglia_impression_for_MoBIE,FileName_Pre_IBA1,FileName_ROI_Mask,FileName_ROI_MaskForMobie,PathName_Microglia_impression_for_MoBIE,PathName_Pre_IBA1,PathName_ROI_Mask,PathName_ROI_MaskForMobie,Children_Filtered_Microglia_Soma_Count,Children_Microglia_total_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,21,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1102.773148148148,792.1574074074074,0,21
1,22,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1571.74678111588,810.7424892703863,0,22
1,23,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,495.75877192982455,822.0021929824561,0,23
1,24,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1252.7964959568733,860.8382749326146,0,24
1,25,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,459.6160108548168,869.3948439620082,0,25
1,26,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,350.3659942363112,859.3659942363113,0,26
1,27,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,172.2994923857868,907.3350253807107,0,27
1,28,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1375.8677354709419,919.3306613226453,0,28
1,29,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,216.9377593360996,929.292531120332,0,29
1,30,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,585.3583815028902,931.990366088632,0,30
